station,horizon,rank,timestamp,actual_tecu,predicted_tecu,error_tecu,abs_error_tecu,kp_index,imf_bz,dst_index
bangalore,6h,1,2023-03-24 19:00:00,22.73,69.1,-46.37,46.37,4.7,-1.2,-66.0
bangalore,6h,2,2023-11-05 17:00:00,39.98,-4.87,44.85,44.85,7.3,-16.0,-149.0
bangalore,6h,3,2023-04-24 19:00:00,22.27,66.84,-44.58,44.58,2.3,17.7,-73.0
bangalore,6h,4,2023-04-24 18:00:00,9.23,53.44,-44.21,44.21,2.3,19.7,-84.0
bangalore,6h,5,2024-04-20 21:00:00,74.94,117.37,-42.43,42.43,2.7,-2.8,-48.0
bangalore,6h,6,2023-03-25 04:00:00,149.9,108.25,41.65,41.65,2.0,-0.9,-45.0
bangalore,6h,7,2023-04-24 17:00:00,5.76,46.81,-41.04,41.04,3.0,20.8,-89.0
bangalore,6h,8,2023-03-24 18:00:00,7.49,45.17,-37.68,37.68,4.7,-5.5,-64.0
bangalore,6h,9,2024-03-26 08:00:00,81.72,118.39,-36.68,36.68,0.7,3.1,-46.0
bangalore,6h,10,2023-11-05 18:00:00,43.21,6.92,36.29,36.29,6.7,-14.5,-154.0
lucknow,1h,1,2023-03-24 08:00:00,106.32,185.26,-78.94,78.94,6.3,3.0,-132.0
lucknow,1h,2,2023-03-24 07:00:00,143.19,207.69,-64.5,64.5,6.3,-4.9,-127.0
lucknow,1h,3,2023-04-24 10:00:00,123.62,181.89,-58.27,58.27,5.7,-6.0,-148.0
lucknow,1h,4,2023-03-24 09:00:00,104.52,161.87,-57.34,57.34,4.0,-2.3,-109.0
lucknow,1h,5,2023-03-24 10:00:00,96.24,151.6,-55.36,55.36,4.0,-5.2,-101.0
lucknow,1h,6,2023-03-24 06:00:00,150.71,200.39,-49.68,49.68,6.3,-5.1,-143.0
lucknow,1h,7,2023-03-25 08:00:00,181.36,133.64,47.73,47.73,3.7,-1.3,-39.0
lucknow,1h,8,2023-03-25 06:00:00,214.34,168.34,46.0,46.0,3.7,2.5,-43.0
lucknow,1h,9,2023-04-24 12:00:00,100.44,145.8,-45.37,45.37,3.7,1.7,-118.0
lucknow,1h,10,2023-04-24 11:00:00,115.76,160.78,-45.02,45.02,5.7,-1.0,-125.0
lucknow,3h,1,2023-03-24 06:00:00,106.32,177.3,-70.98,70.98,6.3,-5.1,-143.0
lucknow,3h,2,2023-03-24 08:00:00,96.24,163.81,-67.57,67.57,6.3,3.0,-132.0
lucknow,3h,3,2023-03-24 07:00:00,104.52,171.19,-66.67,66.67,6.3,-4.9,-127.0
lucknow,3h,4,2023-03-25 04:00:00,214.34,147.91,66.42,66.42,2.0,-0.9,-45.0
lucknow,3h,5,2023-03-25 07:00:00,193.43,132.77,60.67,60.67,3.7,-2.7,-37.0
lucknow,3h,6,2023-03-25 09:00:00,168.4,107.76,60.64,60.64,3.7,-2.3,-39.0
lucknow,3h,7,2023-03-25 08:00:00,173.38,119.15,54.23,54.23,3.7,-1.3,-39.0
lucknow,3h,8,2023-03-24 09:00:00,90.28,144.08,-53.8,53.8,4.0,-2.3,-109.0
lucknow,3h,9,2023-10-24 10:00:00,174.93,121.74,53.19,53.19,1.0,1.5,-3.0
lucknow,3h,10,2023-03-25 10:00:00,144.13,93.83,50.3,50.3,3.7,1.1,-42.0
lucknow,6h,1,2023-10-28 23:00:00,58.94,154.52,-95.58,95.58,4.0,-5.2,-27.0
lucknow,6h,2,2024-02-24 23:00:00,65.91,157.4,-91.5,91.5,2.3,2.4,-10.0
lucknow,6h,3,2024-01-24 23:00:00,60.96,149.15,-88.19,88.19,0.3,0.1,7.0
lucknow,6h,4,2023-10-28 22:00:00,58.58,146.68,-88.1,88.1,4.0,-3.0,-23.0
lucknow,6h,5,2023-04-13 23:00:00,84.22,166.59,-82.38,82.38,2.0,-0.4,-1.0
lucknow,6h,6,2024-04-01 23:00:00,74.63,153.11,-78.49,78.49,1.3,1.7,-7.0
lucknow,6h,7,2023-12-19 23:00:00,64.48,139.59,-75.11,75.11,2.7,-3.0,-22.0
lucknow,6h,8,2024-01-24 22:00:00,60.86,135.34,-74.48,74.48,0.3,0.1,7.0
lucknow,6h,9,2024-02-24 22:00:00,65.72,137.38,-71.66,71.66,2.3,2.7,-9.0
lucknow,6h,10,2024-03-25 23:00:00,138.35,209.09,-70.74,70.74,1.7,0.1,-55.0
colombo,1h,1,2024-04-21 15:00:00,59.94,94.18,-34.23,34.23,3.7,-1.4,-57.0
colombo,1h,2,2024-02-19 15:00:00,41.52,12.14,29.39,29.39,0.0,-2.1,-1.0
colombo,1h,3,2023-03-25 09:00:00,139.32,110.08,29.24,29.24,3.7,-2.3,-39.0
colombo,1h,4,2023-03-29 15:00:00,69.8,40.72,29.08,29.08,1.3,-0.9,0.0
colombo,1h,5,2023-04-24 05:00:00,131.82,103.86,27.96,27.96,8.0,-26.6,-213.0
colombo,1h,6,2024-04-19 23:00:00,31.73,3.89,27.84,27.84,3.7,4.5,-83.0
colombo,1h,7,2023-03-29 14:00:00,58.64,31.18,27.46,27.46,1.7,-3.7,3.0
colombo,1h,8,2023-11-05 15:00:00,51.46,24.58,26.88,26.88,7.3,-18.8,-75.0
colombo,1h,9,2024-04-20 23:00:00,9.51,36.19,-26.69,26.69,2.7,-0.3,-43.0
colombo,1h,10,2023-11-05 16:00:00,49.24,22.88,26.37,26.37,7.3,-18.4,-135.0
colombo,3h,1,2023-03-25 07:00:00,139.32,81.05,58.27,58.27,3.7,-2.7,-37.0
colombo,3h,2,2023-03-25 08:00:00,119.51,65.62,53.88,53.88,3.7,-1.3,-39.0
colombo,3h,3,2023-03-25 09:00:00,105.72,53.41,52.3,52.3,3.7,-2.3,-39.0
colombo,3h,4,2023-11-20 23:00:00,-8.17,41.38,-49.55,49.55,1.0,-0.2,21.0
colombo,3h,5,2023-03-25 06:00:00,137.95,90.0,47.95,47.95,3.7,2.5,-43.0
colombo,3h,6,2023-04-23 16:00:00,10.73,54.48,-43.75,43.75,5.3,-9.1,-56.0
colombo,3h,7,2023-04-23 17:00:00,-8.15,34.99,-43.14,43.14,5.3,-8.0,-61.0
colombo,3h,8,2023-03-24 21:00:00,-7.41,33.84,-41.25,41.25,4.3,-2.9,-64.0
colombo,3h,9,2023-03-24 22:00:00,16.56,56.7,-40.14,40.14,4.3,-5.2,-69.0
colombo,3h,10,2024-04-20 09:00:00,141.32,102.95,38.37,38.37,2.7,-2.6,-59.0
